seed,repetition,opponent,eleanor_avg,opponent_avg,margin
0,0,Cu,3.01,2.985,0.02499999999999991
0,0,Du,0.975,1.1,-0.1250000000000001
0,0,Tit For Tat,3.01,2.985,0.02499999999999991
0,0,spiteful,3.01,2.985,0.02499999999999991
0,0,soft_majo,3.01,2.985,0.02499999999999991
0,0,hard_majo,2.99,2.99,0.0
0,0,per_cd,2.685,1.31,1.375
0,0,per_ccd,3.29,1.19,2.1
0,0,per_ddc,2.29,0.765,1.525
0,0,mistrust,2.99,2.99,0.0
0,0,WSLS,3.01,2.985,0.02499999999999991
0,0,TFTT,3.01,2.985,0.02499999999999991
0,0,hard_tft,3.01,2.985,0.02499999999999991
0,0,slow_tft,3.01,2.985,0.02499999999999991
0,0,GrdTFT,3.01,2.985,0.02499999999999991
0,0,prober,3.005,2.98,0.02499999999999991
0,0,mem2,3.01,2.985,0.02499999999999991
0,0,grok:grok-3-mini,3.01,2.985,0.02499999999999991
0,0,Tideman & Chieruzzi,2.975,3.0,-0.02499999999999991
0,0,Nydegger,3.01,2.985,0.02499999999999991
0,0,Grofman,3.01,2.985,0.02499999999999991
0,0,Shubik,3.01,2.985,0.02499999999999991
0,0,Stein & Rapoport: 0.05,2.975,3.0,-0.02499999999999991
0,0,GRIM,3.01,2.985,0.02499999999999991
0,0,Davis: 10,3.01,2.985,0.02499999999999991
0,0,Graaskamp: 0.05,3.34,2.29,1.0499999999999998
0,0,Downing,1.125,1.05,0.07499999999999996
0,0,"Feld: 1.0, 0.5, 200",1.785,2.16,-0.3750000000000002
0,0,Joss: 0.9,1.285,1.46,-0.17500000000000004
0,0,Tullock,1.835,1.885,-0.050000000000000044
0,0,Anonymous,2.755,0.73,2.025
0,0,Random: 0.5,2.885,0.61,2.275
0,1,Cu,3.01,2.985,0.02499999999999991
0,1,Du,0.975,1.1,-0.1250000000000001
0,1,Tit For Tat,3.01,2.985,0.02499999999999991
0,1,spiteful,3.01,2.985,0.02499999999999991
0,1,soft_majo,3.01,2.985,0.02499999999999991
0,1,hard_majo,2.99,2.99,0.0
0,1,per_cd,2.685,1.31,1.375
0,1,per_ccd,3.29,1.19,2.1
0,1,per_ddc,2.29,0.765,1.525
0,1,mistrust,2.99,2.99,0.0
0,1,WSLS,3.01,2.985,0.02499999999999991
0,1,TFTT,3.01,2.985,0.02499999999999991
0,1,hard_tft,3.01,2.985,0.02499999999999991
0,1,slow_tft,3.01,2.985,0.02499999999999991
0,1,GrdTFT,3.01,2.985,0.02499999999999991
0,1,prober,3.005,2.98,0.02499999999999991
0,1,mem2,3.01,2.985,0.02499999999999991
0,1,grok:grok-3-mini,3.01,2.985,0.02499999999999991
0,1,Tideman & Chieruzzi,2.975,3.0,-0.02499999999999991
0,1,Nydegger,3.01,2.985,0.02499999999999991
0,1,Grofman,3.01,2.985,0.02499999999999991
0,1,Shubik,3.01,2.985,0.02499999999999991
0,1,Stein & Rapoport: 0.05,2.975,3.0,-0.02499999999999991
0,1,GRIM,3.01,2.985,0.02499999999999991
0,1,Davis: 10,3.01,2.985,0.02499999999999991
0,1,Graaskamp: 0.05,3.51,1.985,1.5249999999999997
0,1,Downing,1.125,1.05,0.07499999999999996
0,1,"Feld: 1.0, 0.5, 200",1.965,2.39,-0.42500000000000004
0,1,Joss: 0.9,2.085,2.385,-0.2999999999999998
0,1,Tullock,1.265,1.315,-0.050000000000000044
0,1,Anonymous,2.585,1.335,1.25
0,1,Random: 0.5,2.69,1.44,1.25
0,2,Cu,3.01,2.985,0.02499999999999991
0,2,Du,0.975,1.1,-0.1250000000000001
0,2,Tit For Tat,3.01,2.985,0.02499999999999991
0,2,spiteful,3.01,2.985,0.02499999999999991
0,2,soft_majo,3.01,2.985,0.02499999999999991
0,2,hard_majo,2.99,2.99,0.0
0,2,per_cd,2.685,1.31,1.375
0,2,per_ccd,3.29,1.19,2.1
0,2,per_ddc,2.29,0.765,1.525
0,2,mistrust,2.99,2.99,0.0
0,2,WSLS,3.01,2.985,0.02499999999999991
0,2,TFTT,3.01,2.985,0.02499999999999991
