seed,repetition,opponent,eleanor_avg
0,0,Cu,3.01
0,0,Du,0.975
0,0,Tit For Tat,3.01
0,0,spiteful,3.01
0,0,soft_majo,3.01
0,0,hard_majo,2.99
0,0,per_cd,2.685
0,0,per_ccd,3.29
0,0,per_ddc,2.29
0,0,mistrust,2.99
0,0,WSLS,3.01
0,0,TFTT,3.01
0,0,hard_tft,3.01
0,0,slow_tft,3.01
0,0,GrdTFT,3.01
0,0,prober,3.005
0,0,mem2,3.01
0,0,grok:grok-3-mini,3.01
0,0,Tideman & Chieruzzi,2.975
0,0,Nydegger,3.01
0,0,Grofman,3.01
0,0,Shubik,3.01
0,0,Stein & Rapoport: 0.05,2.975
0,0,GRIM,3.01
0,0,Davis: 10,3.01
0,0,Graaskamp: 0.05,3.34
0,0,Downing,1.125
0,0,"Feld: 1.0, 0.5, 200",1.785
0,0,Joss: 0.9,1.285
0,0,Tullock,1.835
0,0,Anonymous,2.755
0,0,Random: 0.5,2.885
0,1,Cu,3.01
0,1,Du,0.975
0,1,Tit For Tat,3.01
0,1,spiteful,3.01
0,1,soft_majo,3.01
0,1,hard_majo,2.99
0,1,per_cd,2.685
0,1,per_ccd,3.29
0,1,per_ddc,2.29
0,1,mistrust,2.99
0,1,WSLS,3.01
0,1,TFTT,3.01
0,1,hard_tft,3.01
0,1,slow_tft,3.01
0,1,GrdTFT,3.01
0,1,prober,3.005
0,1,mem2,3.01
0,1,grok:grok-3-mini,3.01
0,1,Tideman & Chieruzzi,2.975
0,1,Nydegger,3.01
0,1,Grofman,3.01
0,1,Shubik,3.01
0,1,Stein & Rapoport: 0.05,2.975
0,1,GRIM,3.01
0,1,Davis: 10,3.01
0,1,Graaskamp: 0.05,3.51
0,1,Downing,1.125
0,1,"Feld: 1.0, 0.5, 200",1.965
0,1,Joss: 0.9,2.085
0,1,Tullock,1.265
0,1,Anonymous,2.585
0,1,Random: 0.5,2.69
0,2,Cu,3.01
0,2,Du,0.975
0,2,Tit For Tat,3.01
0,2,spiteful,3.01
0,2,soft_majo,3.01
0,2,hard_majo,2.99
0,2,per_cd,2.685
0,2,per_ccd,3.29
0,2,per_ddc,2.29
0,2,mistrust,2.99
0,2,WSLS,3.01
0,2,TFTT,3.01
0,2,hard_tft,3.01
0,2,slow_tft,3.01
0,2,GrdTFT,3.01
0,2,prober,3.005
0,2,mem2,3.01
0,2,grok:grok-3-mini,3.01
0,2,Tideman & Chieruzzi,2.975
0,2,Nydegger,3.01
0,2,Grofman,3.01
0,2,Shubik,3.01
0,2,Stein & Rapoport: 0.05,2.975
0,2,GRIM,3.01
0,2,Davis: 10,3.01
0,2,Graaskamp: 0.05,3.435
0,2,Downing,1.125
0,2,"Feld: 1.0, 0.5, 200",1.33
0,2,Joss: 0.9,2.36
