repetition,player_a,player_b,score_a,score_b,avg_a,avg_b,cooperation_a,cooperation_b
0,Cu,Cu,600.0,600.0,3.0,3.0,1.0,1.0
0,Cu,Du,0.0,1000.0,0.0,5.0,1.0,0.0
0,Du,Cu,1000.0,0.0,5.0,0.0,0.0,1.0
0,Cu,Tit For Tat,600.0,600.0,3.0,3.0,1.0,1.0
0,Tit For Tat,Cu,600.0,600.0,3.0,3.0,1.0,1.0
0,Cu,spiteful,600.0,600.0,3.0,3.0,1.0,1.0
0,spiteful,Cu,600.0,600.0,3.0,3.0,1.0,1.0
0,Cu,soft_majo,600.0,600.0,3.0,3.0,1.0,1.0
0,soft_majo,Cu,600.0,600.0,3.0,3.0,1.0,1.0
0,Cu,hard_majo,597.0,602.0,2.985,3.01,1.0,0.995
0,hard_majo,Cu,602.0,597.0,3.01,2.985,0.995,1.0
0,Cu,per_cd,300.0,800.0,1.5,4.0,1.0,0.5
0,per_cd,Cu,800.0,300.0,4.0,1.5,0.5,1.0
0,Cu,per_ccd,402.0,732.0,2.01,3.66,1.0,0.67
0,per_ccd,Cu,732.0,402.0,3.66,2.01,0.67,1.0
0,Cu,per_ddc,198.0,868.0,0.99,4.34,1.0,0.33
0,per_ddc,Cu,868.0,198.0,4.34,0.99,0.33,1.0
0,Cu,mistrust,597.0,602.0,2.985,3.01,1.0,0.995
0,mistrust,Cu,602.0,597.0,3.01,2.985,0.995,1.0
0,Cu,WSLS,600.0,600.0,3.0,3.0,1.0,1.0
0,WSLS,Cu,600.0,600.0,3.0,3.0,1.0,1.0
0,Cu,TFTT,600.0,600.0,3.0,3.0,1.0,1.0
0,TFTT,Cu,600.0,600.0,3.0,3.0,1.0,1.0
0,Cu,hard_tft,600.0,600.0,3.0,3.0,1.0,1.0
0,hard_tft,Cu,600.0,600.0,3.0,3.0,1.0,1.0
0,Cu,slow_tft,600.0,600.0,3.0,3.0,1.0,1.0
0,slow_tft,Cu,600.0,600.0,3.0,3.0,1.0,1.0
0,Cu,GrdTFT,600.0,600.0,3.0,3.0,1.0,1.0
0,GrdTFT,Cu,600.0,600.0,3.0,3.0,1.0,1.0
0,Cu,prober,6.0,996.0,0.03,4.98,1.0,0.01
0,prober,Cu,996.0,6.0,4.98,0.03,0.01,1.0
0,Cu,mem2,600.0,600.0,3.0,3.0,1.0,1.0
0,mem2,Cu,600.0,600.0,3.0,3.0,1.0,1.0
0,Cu,grok:grok-3-mini,600.0,600.0,3.0,3.0,1.0,1.0
0,grok:grok-3-mini,Cu,600.0,600.0,3.0,3.0,1.0,1.0
0,Cu,Tideman & Chieruzzi,594.0,604.0,2.97,3.02,1.0,0.99
0,Tideman & Chieruzzi,Cu,604.0,594.0,3.02,2.97,0.99,1.0
0,Cu,Nydegger,600.0,600.0,3.0,3.0,1.0,1.0
0,Nydegger,Cu,600.0,600.0,3.0,3.0,1.0,1.0
0,Cu,Grofman,600.0,600.0,3.0,3.0,1.0,1.0
0,Grofman,Cu,600.0,600.0,3.0,3.0,1.0,1.0
0,Cu,Shubik,600.0,600.0,3.0,3.0,1.0,1.0
0,Shubik,Cu,600.0,600.0,3.0,3.0,1.0,1.0
0,Cu,Stein & Rapoport: 0.05,594.0,604.0,2.97,3.02,1.0,0.99
0,Stein & Rapoport: 0.05,Cu,604.0,594.0,3.02,2.97,0.99,1.0
0,Cu,GRIM,600.0,600.0,3.0,3.0,1.0,1.0
0,GRIM,Cu,600.0,600.0,3.0,3.0,1.0,1.0
0,Cu,Davis: 10,600.0,600.0,3.0,3.0,1.0,1.0
0,Davis: 10,Cu,600.0,600.0,3.0,3.0,1.0,1.0
0,Cu,Graaskamp: 0.05,552.0,632.0,2.76,3.16,1.0,0.92
0,Graaskamp: 0.05,Cu,632.0,552.0,3.16,2.76,0.92,1.0
0,Cu,Downing,3.0,998.0,0.015,4.99,1.0,0.005
0,Downing,Cu,998.0,3.0,4.99,0.015,0.005,1.0
0,Cu,"Feld: 1.0, 0.5, 200",471.0,686.0,2.355,3.43,1.0,0.785
0,"Feld: 1.0, 0.5, 200",Cu,686.0,471.0,3.43,2.355,0.785,1.0
0,Cu,Joss: 0.9,552.0,632.0,2.76,3.16,1.0,0.92
0,Joss: 0.9,Cu,632.0,552.0,3.16,2.76,0.92,1.0
0,Cu,Tullock,510.0,660.0,2.55,3.3,1.0,0.85
0,Tullock,Cu,660.0,510.0,3.3,2.55,0.85,1.0
0,Cu,Anonymous,288.0,808.0,1.44,4.04,1.0,0.48
0,Anonymous,Cu,808.0,288.0,4.04,1.44,0.48,1.0
0,Cu,Random: 0.5,276.0,816.0,1.38,4.08,1.0,0.46
0,Random: 0.5,Cu,816.0,276.0,4.08,1.38,0.46,1.0
0,Du,Du,200.0,200.0,1.0,1.0,0.0,0.0
0,Du,Tit For Tat,204.0,199.0,1.02,0.995,0.0,0.005
0,Tit For Tat,Du,199.0,204.0,0.995,1.02,0.005,0.0
0,Du,spiteful,204.0,199.0,1.02,0.995,0.0,0.005
0,spiteful,Du,199.0,204.0,0.995,1.02,0.005,0.0
0,Du,soft_majo,204.0,199.0,1.02,0.995,0.0,0.005
0,soft_majo,Du,199.0,204.0,0.995,1.02,0.005,0.0
0,Du,hard_majo,200.0,200.0,1.0,1.0,0.0,0.0
0,hard_majo,Du,200.0,200.0,1.0,1.0,0.0,0.0
0,Du,per_cd,600.0,100.0,3.0,0.5,0.0,0.5
0,per_cd,Du,100.0,600.0,0.5,3.0,0.5,0.0
0,Du,per_ccd,736.0,66.0,3.68,0.33,0.0,0.67
0,per_ccd,Du,66.0,736.0,0.33,3.68,0.67,0.0
0,Du,per_ddc,464.0,134.0,2.32,0.67,0.0,0.33
0,per_ddc,Du,134.0,464.0,0.67,2.32,0.33,0.0
0,Du,mistrust,200.0,200.0,1.0,1.0,0.0,0.0
0,mistrust,Du,200.0,200.0,1.0,1.0,0.0,0.0
0,Du,WSLS,600.0,100.0,3.0,0.5,0.0,0.5
0,WSLS,Du,100.0,600.0,0.5,3.0,0.5,0.0
0,Du,TFTT,208.0,198.0,1.04,0.99,0.0,0.01
0,TFTT,Du,198.0,208.0,0.99,1.04,0.01,0.0
0,Du,hard_tft,208.0,198.0,1.04,0.99,0.0,0.01
0,hard_tft,Du,198.0,208.0,0.99,1.04,0.01,0.0
0,Du,slow_tft,208.0,198.0,1.04,0.99,0.0,0.01
0,slow_tft,Du,198.0,208.0,0.99,1.04,0.01,0.0
0,Du,GrdTFT,340.0,165.0,1.7,0.825,0.0,0.175
0,GrdTFT,Du,165.0,340.0,0.825,1.7,0.175,0.0
0,Du,prober,208.0,198.0,1.04,0.99,0.0,0.01
0,prober,Du,198.0,208.0,0.99,1.04,0.01,0.0
0,Du,mem2,204.0,199.0,1.02,0.995,0.0,0.005
0,mem2,Du,199.0,204.0,0.995,1.02,0.005,0.0
0,Du,grok:grok-3-mini,204.0,199.0,1.02,0.995,0.0,0.005
0,grok:grok-3-mini,Du,199.0,204.0,0.995,1.02,0.005,0.0
0,Du,Tideman & Chieruzzi,204.0,199.0,1.02,0.995,0.0,0.005
0,Tideman & Chieruzzi,Du,199.0,204.0,0.995,1.02,0.005,0.0
0,Du,Nydegger,992.0,2.0,4.96,0.01,0.0,0.99
0,Nydegger,Du,2.0,992.0,0.01,4.96,0.99,0.0
0,Du,Grofman,656.0,86.0,3.28,0.43,0.0,0.57
0,Grofman,Du,86.0,656.0,0.43,3.28,0.57,0.0
0,Du,Shubik,276.0,181.0,1.38,0.905,0.0,0.095
0,Shubik,Du,181.0,276.0,0.905,1.38,0.095,0.0
0,Du,Stein & Rapoport: 0.05,216.0,196.0,1.08,0.98,0.0,0.02
0,Stein & Rapoport: 0.05,Du,196.0,216.0,0.98,1.08,0.02,0.0
0,Du,GRIM,204.0,199.0,1.02,0.995,0.0,0.005
0,GRIM,Du,199.0,204.0,0.995,1.02,0.005,0.0
0,Du,Davis: 10,240.0,190.0,1.2,0.95,0.0,0.05
0,Davis: 10,Du,190.0,240.0,0.95,1.2,0.05,0.0
0,Du,Graaskamp: 0.05,728.0,68.0,3.64,0.34,0.0,0.66
0,Graaskamp: 0.05,Du,68.0,728.0,0.34,3.64,0.66,0.0
0,Du,Downing,200.0,200.0,1.0,1.0,0.0,0.0
0,Downing,Du,200.0,200.0,1.0,1.0,0.0,0.0
0,Du,"Feld: 1.0, 0.5, 200",204.0,199.0,1.02,0.995,0.0,0.005
0,"Feld: 1.0, 0.5, 200",Du,199.0,204.0,0.995,1.02,0.005,0.0
0,Du,Joss: 0.9,204.0,199.0,1.02,0.995,0.0,0.005
0,Joss: 0.9,Du,199.0,204.0,0.995,1.02,0.005,0.0
0,Du,Tullock,244.0,189.0,1.22,0.945,0.0,0.055
0,Tullock,Du,189.0,244.0,0.945,1.22,0.055,0.0
0,Du,Anonymous,540.0,115.0,2.7,0.575,0.0,0.425
0,Anonymous,Du,115.0,540.0,0.575,2.7,0.425,0.0
0,Du,Random: 0.5,596.0,101.0,2.98,0.505,0.0,0.495
0,Random: 0.5,Du,101.0,596.0,0.505,2.98,0.495,0.0
0,Tit For Tat,Tit For Tat,600.0,600.0,3.0,3.0,1.0,1.0
0,Tit For Tat,spiteful,600.0,600.0,3.0,3.0,1.0,1.0
0,spiteful,Tit For Tat,600.0,600.0,3.0,3.0,1.0,1.0
0,Tit For Tat,soft_majo,600.0,600.0,3.0,3.0,1.0,1.0
0,soft_majo,Tit For Tat,600.0,600.0,3.0,3.0,1.0,1.0
0,Tit For Tat,hard_majo,500.0,500.0,2.5,2.5,0.5,0.5
0,hard_majo,Tit For Tat,500.0,500.0,2.5,2.5,0.5,0.5
0,Tit For Tat,per_cd,498.0,503.0,2.49,2.515,0.505,0.5
0,per_cd,Tit For Tat,503.0,498.0,2.515,2.49,0.5,0.505
0,Tit For Tat,per_ccd,534.0,534.0,2.67,2.67,0.67,0.67
0,per_ccd,Tit For Tat,534.0,534.0,2.67,2.67,0.67,0.67
0,Tit For Tat,per_ddc,397.0,402.0,1.985,2.01,0.335,0.33
0,per_ddc,Tit For Tat,402.0,397.0,2.01,1.985,0.33,0.335
0,Tit For Tat,mistrust,500.0,500.0,2.5,2.5,0.5,0.5
0,mistrust,Tit For Tat,500.0,500.0,2.5,2.5,0.5,0.5
0,Tit For Tat,WSLS,600.0,600.0,3.0,3.0,1.0,1.0
0,WSLS,Tit For Tat,600.0,600.0,3.0,3.0,1.0,1.0
0,Tit For Tat,TFTT,600.0,600.0,3.0,3.0,1.0,1.0
0,TFTT,Tit For Tat,600.0,600.0,3.0,3.0,1.0,1.0
0,Tit For Tat,hard_tft,600.0,600.0,3.0,3.0,1.0,1.0
0,hard_tft,Tit For Tat,600.0,600.0,3.0,3.0,1.0,1.0
0,Tit For Tat,slow_tft,600.0,600.0,3.0,3.0,1.0,1.0
0,slow_tft,Tit For Tat,600.0,600.0,3.0,3.0,1.0,1.0
0,Tit For Tat,GrdTFT,600.0,600.0,3.0,3.0,1.0,1.0
0,GrdTFT,Tit For Tat,600.0,600.0,3.0,3.0,1.0,1.0
0,Tit For Tat,prober,599.0,599.0,2.995,2.995,0.995,0.995
0,prober,Tit For Tat,599.0,599.0,2.995,2.995,0.995,0.995
0,Tit For Tat,mem2,600.0,600.0,3.0,3.0,1.0,1.0
0,mem2,Tit For Tat,600.0,600.0,3.0,3.0,1.0,1.0
0,Tit For Tat,grok:grok-3-mini,600.0,600.0,3.0,3.0,1.0,1.0
0,grok:grok-3-mini,Tit For Tat,600.0,600.0,3.0,3.0,1.0,1.0
0,Tit For Tat,Tideman & Chieruzzi,595.0,600.0,2.975,3.0,0.995,0.99
