player_a,GrdTFT,First by Stein and Rapoport: 0.05,Tit For Tat,grok:grok-3-mini,soft_majo,First by Nydegger,TFTT,First by Tideman and Chieruzzi,First by Shubik,mem2,slow_tft,hard_tft,First by Grofman,First by Davis: 10,WSLS,GRIM,spiteful,Cu,First by Graaskamp: 0.05,First by Downing,prober,per_ccd,hard_majo,"First by Feld: 1.0, 0.5, 200",First by Tullock,mistrust,per_cd,Random: 0.5,First by Anonymous,Du,per_ddc,First by Joss: 0.9
GrdTFT,3.0,2.975,3.0,3.0,3.0,3.0,3.0,2.975,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.55,1.14,2.995,3.29,2.98,2.085,1.525,2.98,2.685,2.685,2.605,0.825,2.09,2.08
Stein & Rapoport: 0.05,3.0,2.98,3.0,3.0,3.02,3.02,3.02,2.98,3.0,3.0,3.02,3.0,3.02,3.0,3.0,3.0,3.0,3.02,2.63,2.525,1.01,2.745,3.005,1.365,1.57,2.985,2.945,3.055,3.105,0.98,2.0,1.1
Tit For Tat,3.0,2.975,3.0,3.0,3.0,3.0,3.0,2.975,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.625,2.985,2.995,2.67,2.5,1.43,1.395,2.5,2.49,2.305,2.25,0.995,1.985,1.335
grok:grok-3-mini,3.0,2.975,3.0,3.0,3.0,3.0,3.0,2.975,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.625,2.985,2.995,2.67,2.5,1.305,1.47,2.5,2.49,2.295,2.33,0.995,1.985,1.195
soft_majo,3.0,2.97,3.0,3.0,3.0,3.0,3.0,2.97,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.775,2.99,2.995,2.01,2.5,2.115,2.82,2.5,1.5,1.555,2.03,0.995,2.315,1.015
Nydegger,3.0,2.97,3.0,3.0,3.0,3.0,3.0,2.97,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.805,0.075,2.505,2.01,2.905,2.325,2.7,2.95,2.49,1.485,1.57,0.01,2.315,2.7
TFTT,3.0,2.97,3.0,3.0,3.0,3.0,3.0,2.97,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.79,1.43,1.005,2.01,2.985,1.8,2.805,2.985,1.5,1.93,1.94,0.99,1.65,2.635
Tideman & Chieruzzi,3.0,2.98,3.0,3.0,3.02,3.02,3.02,2.98,3.0,3.0,3.02,3.0,3.0,3.0,3.0,3.0,3.0,3.02,3.0,1.165,2.995,3.265,1.03,1.05,1.925,1.03,2.94,2.755,2.805,0.995,2.195,1.05
Shubik,3.0,2.975,3.0,3.0,3.0,3.0,3.0,2.975,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.955,1.285,2.995,3.41,0.945,1.585,1.18,1.285,2.805,2.76,2.57,0.905,2.215,1.32
mem2,3.0,2.975,3.0,3.0,3.0,3.0,3.0,2.975,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.14,1.055,2.995,3.64,1.06,1.16,1.24,1.04,2.985,3.16,3.08,0.995,2.315,1.32
slow_tft,3.0,2.97,3.0,3.0,3.0,3.0,3.0,2.97,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.79,1.03,1.005,2.01,2.985,1.725,2.715,2.985,1.5,2.285,2.15,0.99,2.31,1.295
hard_tft,3.0,2.975,3.0,3.0,3.0,3.0,3.0,2.975,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.045,1.03,1.04,3.33,2.995,1.255,1.27,1.04,2.985,2.655,2.545,0.99,2.31,1.255
Grofman,3.0,2.97,3.0,3.0,3.0,3.0,3.0,2.975,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.095,0.45,0.42,2.645,2.74,2.15,2.105,2.905,2.135,1.93,2.03,0.43,1.485,2.615
Davis: 10,3.0,2.975,3.0,3.0,3.0,3.0,3.0,2.975,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.055,1.045,0.98,3.595,1.285,1.225,1.295,1.105,2.925,2.925,3.075,0.95,2.255,1.09
WSLS,3.0,2.975,3.0,3.0,3.0,3.0,3.0,2.975,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.37,0.545,2.005,2.835,0.52,1.825,1.99,2.005,2.25,2.385,2.265,0.5,1.325,1.935
GRIM,3.0,2.975,3.0,3.0,3.0,3.0,3.0,2.975,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.035,1.055,1.035,3.655,1.015,1.535,1.335,1.015,2.985,2.725,2.885,0.995,2.315,1.025
spiteful,3.0,2.975,3.0,3.0,3.0,3.0,3.0,2.975,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.015,1.055,1.035,3.655,1.015,1.175,1.175,1.015,2.985,2.535,3.085,0.995,2.315,1.035
Cu,3.0,2.97,3.0,3.0,3.0,3.0,3.0,2.97,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.76,0.015,0.03,2.01,2.985,2.355,2.55,2.985,1.5,1.38,1.44,0.0,0.99,2.76
Graaskamp: 0.05,1.975,2.605,2.625,2.625,3.15,3.13,3.14,2.75,1.78,1.39,3.14,2.645,2.62,1.38,2.095,1.385,1.39,3.16,1.5,3.165,2.92,2.295,1.375,2.215,2.635,1.375,2.85,3.005,2.875,0.34,1.375,1.465
Downing,1.64,1.1,2.985,2.985,2.965,4.9,3.13,1.015,1.36,1.005,1.03,1.03,3.275,1.17,2.995,1.005,1.005,4.99,2.715,1.0,1.04,3.665,1.0,2.265,1.19,1.0,2.99,2.895,3.0,1.0,2.32,2.76
prober,2.995,1.06,2.995,2.995,2.995,2.48,1.08,2.97,2.995,2.995,1.08,1.04,3.42,1.18,2.005,1.01,1.01,4.98,2.92,0.99,1.02,2.68,2.48,1.345,1.2,2.975,2.49,2.125,2.375,0.99,1.975,1.2
per_ccd,1.19,2.495,2.67,2.67,3.66,3.66,3.66,1.365,0.96,0.415,3.66,1.68,2.495,0.495,2.01,0.38,0.38,3.66,3.12,0.365,2.655,2.34,3.645,2.095,2.235,2.655,1.995,1.975,2.09,0.33,1.65,2.465
hard_majo,3.005,2.98,2.5,2.5,2.5,3.005,3.01,1.03,1.37,1.035,3.01,2.995,2.99,1.06,2.995,1.015,1.015,3.01,1.375,1.0,2.505,2.02,1.0,1.12,2.68,1.0,2.5,2.55,2.39,1.0,2.32,1.015
