strategy,x,y,radius,angle_deg
GrdTFT,-2.6098283272117717,-0.6345709951486981,2.685867503321972,-166.33391861476483
First by Stein and Rapoport: 0.05,-2.601780731685503,0.17480801239650678,2.6076466050766864,176.1561976242179
Tit For Tat,-2.5199989787244608,0.21241982886437794,2.528935949459198,175.1817219137994
grok:grok-3-mini,-2.5236495621281114,0.27215753156824246,2.538282260588591,173.84484859059455
soft_majo,-2.6142631282684343,-0.7294388573712989,2.714120990388418,-164.4096889580296
First by Nydegger,-2.5689575951106,-2.2670681367931658,3.4262429952265903,-138.57206040669647
TFTT,-2.626779616063574,-1.9094746393966981,3.247470484833734,-143.98561877394874
First by Tideman and Chieruzzi,-2.2701053203405532,1.561537371448455,2.7553179721891694,145.4770837001565
First by Shubik,-2.253396296439413,1.4824685741067305,2.6973149504685034,146.65980709106654
mem2,-2.1534991323376693,1.8352954843643852,2.8294642651759,139.56107659814512
slow_tft,-2.6396460083755455,-1.3917400979500878,2.9840696288416377,-152.1997853463372
hard_tft,-2.451806629472784,0.7008914020121649,2.5500204912394864,164.0464977080081
First by Grofman,-2.5684133864286705,-1.6427067664987403,3.048808430237416,-147.3978170874187
First by Davis: 10,-2.200134656030036,1.6705548700732349,2.762489109225556,142.79071922721602
WSLS,-2.3083602793021427,0.22776875979648042,2.3195701728982234,174.36479557005902
GRIM,-2.1735258977941445,1.7405423656755439,2.7845471005341715,141.3125293127166
spiteful,-2.1686891521294513,1.8484898713311642,2.8495837315260384,139.55726820348127
Cu,-2.5795246799350178,-2.7415109447723385,3.764283442396491,-133.2563048893614
First by Graaskamp: 0.05,1.0563542148854033,0.09860117570134666,1.0609460019981434,5.332595265852844
First by Downing,3.687025805203896,0.9326124225354425,3.803146752218071,14.19490963046911
prober,1.2677395383844325,-0.11949275168460602,1.2733585727862884,-5.3845938422781
per_ccd,3.1756403204292054,-3.4250310263427846,4.670709686562248,-47.16375587250578
hard_majo,1.8550283335891327,0.33762392860225277,1.8855025949553326,10.315192451307677
"First by Feld: 1.0, 0.5, 200",2.7949012662238557,1.6317432399441252,3.2363651044100483,30.277604027682635
First by Tullock,2.4248228759267443,-0.6395235957928397,2.5077393024781207,-14.774768330780669
mistrust,2.5758769178196648,0.5263965128059886,2.6291130033626247,11.54972439227177
per_cd,4.1867935601968504,-2.6167563282658284,4.937271918501661,-32.00548509132963
Random: 0.5,4.456908699370264,-1.0846177105989618,4.586984928323536,-13.677433716123717
First by Anonymous,4.4097011819376135,-1.4435317336079843,4.6399621097499555,-18.12604760296489
Du,4.2555858201763375,2.7331404753113295,5.057674122625038,32.71051431972795
per_ddc,4.109561198143614,0.6918378488757677,4.16738921273555,9.556045804524443
First by Joss: 0.9,3.5764196454908768,1.9665739088104934,4.0814446485855065,28.805173728796383
