strategy,total_score,average_score_per_turn,average_cooperation,volatility,match_count,rank
GrdTFT,348777.0,2.7248203125,0.77103125,0.5978434173756809,640,1
soft_majo,346494.0,2.706984375,0.8709453125,0.4981574498347882,640,2
Stein & Rapoport: 0.05,339849.0,2.6550703125,0.69465625,0.6596525640218188,640,3
Tit For Tat,337576.0,2.6373125,0.7710546875000001,0.5839195277321864,640,4
grok:grok-3-mini,337163.0,2.6340859375,0.7693749999999999,0.589956153742558,640,5
Grofman,331511.0,2.5899296875,0.878125,0.7318581746825457,640,6
Shubik,330650.0,2.583203125,0.6652265625,0.753866022967542,640,7
Nydegger,330452.0,2.58165625,0.9343125000000001,0.7752868562713044,640,8
TFTT,329383.0,2.5733046875,0.8901875,0.6545479339109319,640,9
Tideman & Chieruzzi,328651.0,2.5675859375,0.6482421875,0.7729185742972168,640,10
slow_tft,327347.0,2.5573984375,0.8025078125,0.6817803759728773,640,11
mem2,327112.0,2.5555624999999997,0.6144609375,0.7961604826192439,640,12
hard_tft,326340.0,2.5495312500000002,0.657,0.783311466456353,640,13
Davis: 10,318921.0,2.4915703125,0.59628125,0.8199345338536785,640,14
WSLS,318761.0,2.4903203125,0.7766328125,0.7953437061135034,640,15
spiteful,318626.0,2.4892656250000003,0.5813046875000001,0.8421714005991228,640,16
GRIM,318478.0,2.488109375,0.5810859374999999,0.8426234392175769,640,17
Cu,311496.0,2.4335625,1.0,0.9557722893106311,640,18
Graaskamp: 0.05,285474.0,2.230265625,0.6211015625,0.7618297663321631,640,19
Downing,273511.0,2.1368046875,0.226765625,1.1739878873320653,640,20
prober,272447.0,2.1284921875,0.428625,0.9758134682517446,640,21
per_ccd,268023.0,2.0939296875,0.67,1.0900985525186915,640,22
hard_majo,262535.0,2.0510546874999998,0.4236640625,0.8317105919378969,640,23
"Feld: 1.0, 0.5, 200",250054.0,1.953546875,0.301359375,0.824929122571882,640,24
Tullock,248486.0,1.9412968750000001,0.3729921875,0.7824231787614326,640,25
per_cd,247911.0,1.9368046875,0.5,1.112064506090224,640,26
mistrust,247725.0,1.9353515625,0.4030625,0.8203647666671153,640,27
Joss: 0.9,236027.0,1.8439609375,0.319546875,0.8157399014950407,640,28
Du,235256.0,1.8379375,0.0,1.2147392138191573,640,29
Random: 0.5,235015.0,1.8360546875000001,0.49824999999999997,0.9939112075016551,640,30
Anonymous,232663.0,1.8176796875,0.4993046875,0.9887412203598637,640,31
per_ddc,224892.0,1.75696875,0.33,1.016889815712828,640,32
