strategy,total_score,median_score_per_turn,median_cooperation,average_cooperation,volatility,match_count,rank
GrdTFT,348777.0,3.0,0.9975,0.77103125,0.5978434173756809,640,1
Stein & Rapoport: 0.05,339849.0,3.0,0.99,0.69465625,0.6596525640218188,640,2
Grofman,331511.0,3.0,1.0,0.878125,0.7318581746825457,640,3
Shubik,330650.0,3.0,0.9975,0.6652265625,0.753866022967542,640,4
Tideman & Chieruzzi,328651.0,3.0,0.99,0.6482421875,0.7729185742972168,640,5
mem2,327112.0,3.0,0.9975,0.6144609375,0.7961604826192439,640,6
hard_tft,326340.0,3.0,0.9975,0.657,0.783311466456353,640,7
Davis: 10,318921.0,3.0,0.9975,0.59628125,0.8199345338536785,640,8
WSLS,318761.0,3.0,0.9975,0.7766328125,0.7953437061135034,640,9
spiteful,318626.0,3.0,0.9975,0.5813046875000001,0.8421714005991228,640,10
GRIM,318478.0,3.0,0.9975,0.5810859374999999,0.8426234392175769,640,11
soft_majo,346494.0,2.9975,1.0,0.8709453125,0.4981574498347882,640,12
Tit For Tat,337576.0,2.9975,0.9975,0.7710546875000001,0.5839195277321864,640,13
grok:grok-3-mini,337163.0,2.9975,0.9975,0.7693749999999999,0.589956153742558,640,14
TFTT,329383.0,2.9924999999999997,1.0,0.8901875,0.6545479339109319,640,15
slow_tft,327347.0,2.9924999999999997,1.0,0.8025078125,0.6817803759728773,640,16
Cu,311496.0,2.9924999999999997,1.0,1.0,0.9557722893106311,640,17
Nydegger,330452.0,2.9850000000000003,1.0,0.9343125000000001,0.7752868562713044,640,18
Graaskamp: 0.05,285474.0,2.5975,0.7375,0.6211015625,0.7618297663321631,640,19
hard_majo,262535.0,2.3825000000000003,0.42,0.4236640625,0.8317105919378969,640,20
prober,272447.0,2.2625,0.34,0.428625,0.9758134682517446,640,21
per_ccd,268023.0,2.1675,0.67,0.67,1.0900985525186915,640,22
per_cd,247911.0,2.155,0.5,0.5,1.112064506090224,640,23
Anonymous,232663.0,2.0175,0.5,0.4993046875,0.9887412203598637,640,24
mistrust,247725.0,2.005,0.335,0.4030625,0.8203647666671153,640,25
Random: 0.5,235015.0,2.005,0.5,0.49824999999999997,0.9939112075016551,640,26
per_ddc,224892.0,1.6975,0.33,0.33,1.016889815712828,640,27
Tullock,248486.0,1.6825,0.255,0.3729921875,0.7824231787614326,640,28
Downing,273511.0,1.64,0.015,0.226765625,1.1739878873320653,640,29
"Feld: 1.0, 0.5, 200",250054.0,1.5425,0.225,0.301359375,0.824929122571882,640,30
Joss: 0.9,236027.0,1.3925,0.155,0.319546875,0.8157399014950407,640,31
Du,235256.0,1.04,0.0,0.0,1.2147392138191573,640,32
