strategy,total_score,average_score_per_turn,average_cooperation,match_count,volatility,rank
GrdTFT,17493.0,2.73328125,0.77125,32,0.604933493245332,1
Stein & Rapoport: 0.05,17020.0,2.659375,0.6921875,32,0.6745102763510916,2
Tit For Tat,16882.0,2.6378125,0.7703125,32,0.5881160976838151,3
grok:grok-3-mini,16858.0,2.6340625,0.76890625,32,0.600916554643955,4
soft_majo,16811.0,2.62671875,0.86328125,32,0.6116564096844441,5
Nydegger,16557.0,2.58703125,0.93453125,32,0.783291091788874,6
TFTT,16479.0,2.57484375,0.88796875,32,0.6642840972770321,7
Tideman & Chieruzzi,16452.0,2.570625,0.65109375,32,0.779428812781224,8
Shubik,16433.0,2.56765625,0.66421875,32,0.7560124426939442,9
mem2,16427.0,2.56671875,0.61484375,32,0.81038283403686,10
slow_tft,16343.0,2.55359375,0.79671875,32,0.698483650690736,11
hard_tft,16339.0,2.55296875,0.65953125,32,0.7871332831506673,12
Grofman,16216.0,2.53375,0.87078125,32,0.7996279376745645,13
Davis: 10,15951.0,2.49234375,0.5940625,32,0.8408185186174245,14
WSLS,15941.0,2.49078125,0.7746875,32,0.8051578781017762,15
GRIM,15912.0,2.48625,0.5859375,32,0.8393075102572319,16
spiteful,15808.0,2.47,0.5778125,32,0.8645677644666373,17
Cu,15540.0,2.428125,1.0,32,0.9726914356733372,18
Graaskamp: 0.05,14475.0,2.26171875,0.63375,32,0.7647333599988699,19
Downing,13685.0,2.13828125,0.22421875,32,1.188047062019254,20
prober,13610.0,2.1265625,0.4078125,32,1.0035858591136602,21
per_ccd,13424.0,2.0975,0.67,32,1.106273168155427,22
hard_majo,13100.0,2.046875,0.41484375,32,0.8506873406915747,23
"Feld: 1.0, 0.5, 200",12694.0,1.9834375,0.30953125,32,0.849731871846795,24
Tullock,12654.0,1.9771875,0.38234375,32,0.8034862922129995,25
mistrust,12419.0,1.94046875,0.404375,32,0.8293471581125452,26
per_cd,12330.0,1.9265625,0.5,32,1.1266331783452797,27
Random: 0.5,11890.0,1.8578125,0.49484375,32,1.0398875074861735,28
Anonymous,11852.0,1.851875,0.5064062500000001,32,0.97352680265305,29
Du,11696.0,1.8275,0.0,32,1.2235827878446466,30
per_ddc,11213.0,1.75203125,0.33,32,1.0281080803098412,31
Joss: 0.9,11168.0,1.745,0.2784375,32,0.7910497313186794,32
